,price,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,host_is_superhost,neighbourhood_cleansed,property_type,room_type,month
count,7394.0,7394.0,6340.0,7382.0,7394.0,7394.0,7394.0,5410.0,7394,7394,7394,7394,7394
unique,,,,,,,,,3,29,74,4,1
top,,,,,,,,,f,Primary Urban Center,Entire condominium,Entire home/apt,month_0
freq,,,,,,,,,4678,1555,3930,6633,7394
mean,369.4959426562077,4.58560995401677,1.7738170347003155,2.407206719046329,6.79862050311063,24.38747633216121,3.095618068704355,95.03290203327172,,,,,
std,1261.0287554339984,2.2857041023474762,1.0449477024527947,1.5604139933749401,18.104133705696952,47.20617206421304,5.790697610930813,7.627200056762308,,,,,
min,14.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,,,,,
25%,129.0,3.0,1.0,1.0,1.0,0.0,0.0,93.0,,,,,
50%,202.0,4.0,2.0,2.0,3.0,4.0,1.0,97.0,,,,,
75%,335.0,6.0,2.0,3.0,5.0,27.0,4.0,100.0,,,,,
max,25000.0,16.0,17.0,32.0,185.0,622.0,91.0,100.0,,,,,
median,202.0,4.0,2.0,2.0,3.0,4.0,1.0,97.0,,,,,
null_count,0.0,0.0,1054.0,12.0,0.0,0.0,0.0,1984.0,0,0,0,0,0
